prompt,repetition,F1_drop_redundancy,F1_drop_control,DRE
promptA,1,0.0,0.0,0.0
promptA,5,0.14493697478991596,-0.029705882352941138,0.1746428571428571
promptA,10,0.14936274509803926,0.005588235294117616,0.14377450980392165
promptA,16,0.17793417366946784,0.03427871148459383,0.14365546218487402
promptB,1,0.0,0.0,0.0
promptB,5,0.10130706668632372,-0.004488918374367212,0.10579598506069093
promptB,10,0.055592780972038014,0.08817214605140311,-0.0325793650793651
promptB,16,0.12543405081330783,0.12420155781610898,0.001232492997198853
promptC,1,0.0,0.0,0.0
promptC,5,0.11668875242404647,0.014285714285714235,0.10240303813833224
promptC,10,0.13668875242404643,0.019545895281189385,0.11714285714285705
promptC,16,0.12428338001867406,0.06551587301587297,0.05876750700280109
