run_id,patient_id,condition,repetition,run,raw_valid_json,repair_needed,structural_drift_score
20260522_224306,patient_01,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_01,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_01,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_01,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_02,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_02,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_02,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_02,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_03,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_03,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_03,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_03,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_04,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_04,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_04,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_04,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_05,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_05,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_05,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_05,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_06,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_06,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_06,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_06,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_07,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_07,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_07,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_07,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_08,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_08,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_08,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_08,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_09,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_09,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_09,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_09,section_redundancy,16,1,1,0,0.0
20260522_224306,patient_10,section_redundancy,1,1,1,0,0.0
20260522_224306,patient_10,section_redundancy,5,1,1,0,0.0
20260522_224306,patient_10,section_redundancy,10,1,1,0,0.0
20260522_224306,patient_10,section_redundancy,16,1,1,0,0.0
