patient_id,repetition,run,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n
patient_63,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_63,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_64,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,10,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_64,16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
patient_65,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,5,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,10,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_65,16,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
patient_66,1,1,0.6,0.6,0.6,2,2,5
patient_66,5,1,0.6,0.6,0.6,2,2,5
patient_66,10,1,0.6,0.6,0.6,2,2,5
patient_66,16,1,0.6,0.6,0.6,2,2,5
patient_67,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_67,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_68,1,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_68,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,8
patient_69,1,1,0.6,0.6,0.6,2,2,5
patient_69,5,1,0.6,0.6,0.6,2,2,5
patient_69,10,1,0.6,0.6,0.6,2,2,5
patient_69,16,1,0.6,0.6,0.6,2,2,5
patient_70,1,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,10,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_70,16,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
patient_71,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,8
patient_71,5,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_71,10,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_71,16,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,9
patient_72,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_72,5,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
patient_72,10,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
