patient_id,repetition,run_id,micro_f1_strict,micro_f1_soft,micro_f1_canonical,omission_count_strict,hallucination_count_strict,omission_count_canonical,hallucination_count_canonical
patient_01,10,run_01,0.25,0.25,0.26666666666666666,7,5,6,5
patient_01,10,run_02,0.25,0.25,0.26666666666666666,7,5,6,5
patient_01,10,run_03,0.25,0.25,0.26666666666666666,7,5,6,5
patient_01,16,run_01,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,16,run_02,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,16,run_03,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,1,run_01,0.35294117647058826,0.35294117647058826,0.375,6,5,5,5
patient_01,1,run_02,0.35294117647058826,0.35294117647058826,0.375,6,5,5,5
patient_01,1,run_03,0.35294117647058826,0.35294117647058826,0.375,6,5,5,5
patient_01,2,run_01,0.375,0.375,0.39999999999999997,6,4,5,4
patient_01,2,run_02,0.375,0.375,0.39999999999999997,6,4,5,4
patient_01,2,run_03,0.375,0.375,0.39999999999999997,6,4,5,4
patient_01,32,run_01,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,32,run_02,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,32,run_03,0.125,0.125,0.13333333333333333,8,6,7,6
patient_01,5,run_01,0.25,0.25,0.26666666666666666,7,5,6,5
patient_01,5,run_02,0.25,0.25,0.26666666666666666,7,5,6,5
patient_01,5,run_03,0.25,0.25,0.26666666666666666,7,5,6,5
patient_02,10,run_01,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,10,run_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,10,run_03,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,16,run_01,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,16,run_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,16,run_03,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,1,run_01,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,1,run_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,1,run_03,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,2,run_01,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,2,run_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,2,run_03,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,32,run_01,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,4,4
patient_02,32,run_02,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,4,4
patient_02,32,run_03,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,4,4
patient_02,5,run_01,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,5,run_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_02,5,run_03,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,2,2
patient_03,10,run_01,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,10,run_02,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,10,run_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,16,run_01,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,16,run_02,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,16,run_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,1,run_01,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,1,run_02,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,1,run_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,2,run_01,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,2,run_02,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,2,run_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,32,run_01,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,7,7
patient_03,32,run_02,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,7,7
patient_03,32,run_03,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,7,7
patient_03,5,run_01,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
patient_03,5,run_02,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,5,5
